id_ramo_atividade;cod_divisao;cod_ramo_atividade;desc_ramo_atividade
20004;10;1093701;AGENCIAS MATRIMONIAIS
24380;43;4399104;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE
20006;73;7319003;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES
20007;82;8230001;MARKETING DIRETO
20008;96;9609202;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
20009;45;4530706;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS
20010;45;4542101;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS, PECAS E ACESSORIOS
20011;46;4613300;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES
20211;49;4924800;TRANSPORTE ESCOLAR
20881;45;4530703;SERVICOS DE INSTALACAO, MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES
24372;32;3211601;COMERCIO ATACADISTA DE JOIAS, RELOGIOS E BIJUTERIAS, INCLUSIVE PEDRAS PRECIOSAS E SEMIPRECIOSAS LAPIDADAS
20014;93;9329899;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE
21522;45;4520005;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
21696;93;9313100;ENSINO DE ESPORTES
21782;81;8121400;SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS
21798;14;1412602;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
21999;29;2949201;FABRICACAO DE BANCOS E ESTOFADOS PARA VEICULOS AUTOMOTORES
22653;47;4755503;COMERCIO VAREJISTA DE MOVEIS
22849;85;8512100;CURSOS PREPARATORIOS PARA CONCURSOS
23003;47;4772500;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA
23043;47;4744001;CONFECCAO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA
23094;81;8130300;PRODUCAO DE MUDAS E OUTRAS FORMAS DE PROPAGACAO VEGETAL, CERTIFICADAS
23137;01;0133402;CULTIVO DE BANANA
23224;45;4530703;MANUTENCAO E REPARACAO DE GERADORES, TRANSFORMADORES E MOTORES ELETRICOS
23232;10;1033302;FABRICACAO DE SUCOS DE FRUTAS, HORTALICAS E LEGUMES, EXCETO CONCENTRADOS
23250;47;4774100;COMERCIO VAREJISTA DE ARTIGOS DE RELOJOARIA
