cod_divisao;setor;divisoes
46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
29;Indústria Automotiva;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
30;Indústria Automotiva;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
64;Bens de Capital;ATIVIDADES DE SERVIÇOS FINANCEIROS
65;Bens de Capital;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66;Bens de Capital;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
11;Bens de Consumo;FABRICAÇÃO DE BEBIDAS
12;Bens de Consumo;FABRICAÇÃO DE PRODUTOS DO FUMO
14;Bens de Consumo;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
15;Bens de Consumo;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
16;Bens de Consumo;FABRICAÇÃO DE PRODUTOS DE MADEIRA
31;Bens de Consumo;FABRICAÇÃO DE MÓVEIS
32;Diversos;FABRICAÇÃO DE PRODUTOS DIVERSOS
26;Eletroeletrônicos;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
27;Eletroeletrônicos;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
35;Energia;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
21;Farmacêutica;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
41;Indústria da Construção;CONSTRUÇÃO DE EDIFÍCIOS
42;Indústria da Construção;OBRAS DE INFRA-ESTRUTURA
43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
62;Indústria Digital;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
63;Indústria Digital;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
05;Mineração;EXTRAÇÃO DE CARVÃO MINERAL
06;Mineração;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
07;Mineração;EXTRAÇÃO DE MINERAIS METÁLICOS
08;Mineração;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
09;Mineração;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS
17;Papel e Celulose;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
18;Papel e Celulose;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
01;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
02;Produtos de Agropecuária;PRODUÇÃO FLORESTAL
03;Produtos de Agropecuária;PESCA E AQÜICULTURA
19;Química-Petroquímica;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
20;Química-Petroquímica;FABRICAÇÃO DE PRODUTOS QUÍMICOS
22;Química-Petroquímica;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
23;Química-Petroquímica;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
24;Siderúrgica-Metalurgia;METALURGIA
25;Siderúrgica-Metalurgia;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
28;Siderúrgica-Metalurgia;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
