id_empresa;id_natureza_juridica;id_endereco;cd_cnpj;fl_matriz;dt_abertura;nm_razao_social;de_situacao
1;10013;10014;12305448000100;1;7/30/2010;GIOVANNA SOUZA DE LIMA DATE MEI;ATIVA
4;10015;10016;14180365000150;1;8/24/2011;NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME;ATIVA
6;10015;10017;01144533000100;1;4/4/1996;T P V CONSTRUCOES ELETRICAS LTDA;BAIXADA
9;10013;10018;01911869000150;1;5/6/1997;LUIZA DE FATIMA CAMPOS DE SOUZA;BAIXADA
10;10015;10019;00243955000170;1;10/14/1994;E C PINTO PRADO & CIA LTDA;BAIXADA
11;10013;10020;00890690000100;1;10/27/1995;LUCIANO OLIVEIRA DA SILVA ME;BAIXADA
12;10015;10021;00887641000100;1;9/15/1995;VZW LANCHES LTDA;BAIXADA
13;10015;10022;00092783000180;1;6/25/1982;SAUNA NACOES UNIDAS LTDA;BAIXADA
14;10013;10023;09320876000190;1;1/11/2008;CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME;BAIXADA
15;10013;10024;01846005000100;1;4/15/1986;ANTONIO JOSE DA SILVA RUBIM;BAIXADA
16;10015;10025;05610297000120;1;4/24/2003;RECANTO DA MODA CALCADOS E CONFECCOES LTDA;BAIXADA
17;10013;10026;15044857000180;1;2/14/2012;MARIA GILVANIA DE AQUINO MEI;ATIVA
18;10013;10027;15028623000140;1;2/9/2012;DEBORA PINHEIRO DA SILVA MEI;ATIVA
19;10013;10028;07297742000170;1;2/14/2005;MAURO ODELLI ME;ATIVA
22;10015;10029;15291845000150;1;3/29/2012;COMERCIO FASHION BIJU LTDA ME;ATIVA
24;10015;10030;15090404000190;1;2/24/2012;CONFECCOES BG LTDA ME;ATIVA
25;10031;10032;90400888251650;0;5/28/2010;BANCO SANTANDER BRASIL SA;ATIVA
26;10015;10033;12254288000100;1;7/19/2010;CASA DO GOL LTDA ME;ATIVA
28;10015;10034;04226709000160;1;1/5/2001;COMERCIAL M&M YAMASHITA LTDA ME;ATIVA
29;10035;10036;16679748000100;1;11/14/1973;GRUPO CIENTIFICO RAMATIS;ATIVA
30;10015;10037;07793444000170;1;1/6/2006;KAUS & KAUS LTDA;ATIVA
31;10013;10038;03220549000180;1;6/15/1999;ROMERIO RODRIGUES LEITE ME;ATIVA
32;10035;10039;01687525000100;1;2/12/1996;ASSOCIACAO DE PRESTACAO DE SERVICOS REAL;ATIVA
33;10013;10040;11772974000100;1;4/6/2010;G MARIA DE AMORIM ME;ATIVA
34;10015;10041;05850538000290;0;6/30/2009;TECOPY COPIADORA LTDA ME;ATIVA
36;10015;10042;86396371000150;1;3/21/1994;LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME;ATIVA
37;10015;10043;52792652000100;1;8/11/1983;CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME;ATIVA
38;10035;10044;15818386000110;1;6/29/2012;ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA;BAIXADA
39;10015;10045;01498181000190;1;10/16/1996;COMERCIAL DE PNEUS WENDT LTDA ME;ATIVA
40;10015;10046;80495856000700;0;3/24/1988;RPS FOTOGRAFIAS LTDA ME;ATIVA
41;10013;10047;02186486000120;1;9/30/1997;MOACIR LUIZ DA SILVA VARGAS ME;ATIVA
42;10015;10048;65070146000230;0;5/20/1997;BAR E LANCHONETE PAYSAGE LTDA ME;ATIVA
43;10015;10049;02053352000130;1;8/11/1997;AGILIS MOTOCICLE LTDA;ATIVA
44;10015;10050;06319255001170;0;2/20/1975;PG DOIS AGRICOLA COMERCIAL LTDA;ATIVA
45;10051;10052;10886199000150;1;4/30/2009;VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI;ATIVA
46;10053;10054;12019359000190;1;5/25/2010;PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME;ATIVA
47;10015;10055;06216178000150;1;3/31/2004;CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME;ATIVA
48;10013;10056;12459122000120;1;8/30/2010;RICARDO JOSE DA ROCHA MEI;ATIVA
49;10057;10058;10532571000120;1;12/12/2008;SAULO FERNANDO GATO SCRIBONI;ATIVA
50;10015;10059;11163415000100;1;8/25/2009;INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA;ATIVA
51;10060;10061;20963351002230;0;8/16/1978;DIOCESE DE ITABIRA;ATIVA
52;10035;10062;55055743000150;1;3/30/1988;CONDOMINIO ABC SHOPPING CENTER;ATIVA
53;10015;10063;11199599000150;1;9/21/2009;LUSCO FUSCO FILMES EPP LTDA;ATIVA
54;10013;10064;09445384000120;1;3/13/2008;S DE SENA FERREIRA ME;ATIVA
55;10013;10065;87301180000120;1;1/9/1973;ELIAR HOFSTATTER ME;ATIVA
56;10015;10066;08739568000130;1;2/23/2007;PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME;ATIVA
57;10013;10067;04500550000120;1;6/7/2001;O F DE OLIVEIRA ME;ATIVA
58;10013;10068;12810402000130;1;10/26/2010;SILVANI PRATES DOS SANTOS ME;ATIVA
59;10069;10070;05410317000110;1;11/28/2002;HYDROLAB ENGENHARIA E CONSULTORIA ME SS;BAIXADA
60;10015;10071;12223579000130;1;6/11/2010;WORK TAX SOLUCAO EMPRESARIAL LTDA ME;ATIVA
61;10013;10072;96617865000170;1;5/3/1993;TOSHIO TATSUMI MARACAI ME;ATIVA
62;10057;10073;08047579000150;1;6/5/2006;ILSA ALICE MULLER OLIVEIRA;ATIVA
63;10074;10075;09873296000120;1;7/8/2008;ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR;BAIXADA
64;10015;10076;08641806000170;1;2/7/2007;AFM MODALIDADE LOTERICA LTDA ME;BAIXADA
65;10015;10077;09214498000160;1;11/6/2007;O BARISTA CAFE LTDA ME;BAIXADA
66;10015;10078;12690066000130;1;10/6/2010;CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME;ATIVA
67;10015;10079;07605227000100;1;9/19/2005;MARVELISE MULER DE OLIVEIRA & CIA LTDA ME;BAIXADA
68;10015;10080;94409778000100;1;1/2/1992;O WEHRMANN E CIA LTDA M E ME;ATIVA
69;10081;10082;21081120000130;1;2/5/1981;CARTORIO DO REGISTRO CIVIL DE NICOLANDIA;ATIVA
70;10083;10084;77687663000150;1;10/31/1983;ARTECLASSE ESTOFADOS EIRELI;ATIVA
71;10013;10085;13103110000120;1;1/13/2011;MARINETE SILVA PEREIRA MEI;ATIVA
72;10015;10086;84630474000450;0;3/29/1994;L M L EXPORTACAO DE CAFE LTDA;ATIVA
73;10015;10087;37224847000160;1;9/11/1992;AREEIRO COSME & DAMIAO LTDA ME;ATIVA
74;10013;10088;11971190000100;1;5/20/2010;SILVANIRA PEREIRA NAZARE MEI;ATIVA
75;10015;10089;07244034000170;1;2/3/2005;CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME;ATIVA
76;10057;10090;12121605000110;1;6/21/2010;NADIR RODOLFO DE JESUS TOLEDO E OUTRA;ATIVA
77;10013;10091;12708033000170;1;10/21/2010;JORGE SOARES DE OLIVEIRA MEI;ATIVA
78;10060;10092;62955505281310;0;11/22/1988;IGREJA DO EVANGELHO QUADRANGULAR;ATIVA
79;10053;10093;21614193000140;1;12/13/1985;GARFIG REPRESENTACOES LTDA ME;BAIXADA
80;10015;10094;05008116000190;1;11/22/2001;BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME;ATIVA
81;10015;10095;07095151000110;1;4/13/1983;SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME;ATIVA
82;10013;10096;15493137000100;1;5/8/2012;RICARDO PIRES LEAL MEI;ATIVA
83;10013;10097;09253073000160;1;11/14/2007;RENATA FERREIRA DA SILVA VESTUARIO ME;ATIVA
84;10013;10098;05266699000150;1;8/26/2002;VALDIVIA ROSA DOS SANTOS LIMA ME;ATIVA
85;10015;10099;05312857000160;1;9/11/2002;BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA;BAIXADA
86;10015;10100;05421886000160;1;12/3/2002;BISSOTO & DARIOLI MINIMERCADO LTDA;BAIXADA
87;10015;10101;42064295000100;1;11/18/1992;AUTO LOCADORA TRANS REI LTDA;BAIXADA
88;10013;10102;01893515000120;1;5/27/1997;VITOR A RODRIGUES GAS;BAIXADA
