id_empresa;id_ramo_atividade;ordem
1;20004;0
1;20005;1
1;20006;2
1;20007;3
1;20008;4
4;20009;0
4;20010;1
4;20011;2
16;20012;0
17;20013;0
18;20005;0
18;20014;1
19;20015;0
19;20016;1
19;20017;2
19;20018;3
19;20019;4
22;20020;0
22;20021;1
24;20022;0
24;20023;1
25;20024;0
26;20025;0
26;20026;1
28;20027;0
29;20028;0
29;20029;1
29;20030;2
29;20031;3
30;20032;0
30;20033;1
31;20034;0
31;20035;1
32;20028;0
32;20036;1
32;20037;2
33;20020;0
33;20012;1
33;20021;2
34;20038;0
36;20005;0
37;20039;0
38;20040;0
39;20041;0
40;20042;0
41;20043;0
42;20044;0
43;20044;0
44;20045;0
44;20046;1
44;20047;2
44;20048;3
45;20049;0
46;20050;0
46;20051;1
47;20052;0
47;20053;1
48;20054;0
48;20055;1
48;20056;2
48;20057;3
48;20058;4
49;20059;0
50;20060;0
50;20061;1
50;20062;2
50;20063;3
51;20064;0
52;20028;0
52;20036;1
52;20037;2
53;20065;0
53;20066;1
53;20067;2
53;20068;3
53;20069;4
54;20070;0
54;20005;1
54;20071;2
55;20072;0
56;20073;0
57;20074;0
58;20075;0
58;20076;1
59;20077;0
60;20078;0
61;20079;0
62;20080;0
62;20081;1
66;20033;0
66;20082;1
66;20083;2
66;20084;3
66;20085;4
68;20079;0
69;20086;0
70;20087;0
70;20088;1
70;20089;2
71;20020;0
72;20090;0
73;20091;0
73;20092;1
73;20093;2
74;20013;0
75;20094;0
76;20095;0
76;20096;1
77;20097;0
77;20098;1
77;20099;2
78;20064;0
79;20100;0
79;20101;1
79;20102;2
79;20103;3
79;20104;4
80;20105;0
81;20106;0
82;20107;0
83;20108;0
84;20020;0
98;20109;0
98;20110;1
99;20111;0
99;20058;1
106;20112;0
107;20078;0
108;20113;0
108;20114;1
109;20115;0
110;20116;0
111;20117;0
112;20118;0
112;20105;1
113;20116;0
114;20119;0
114;20120;1
114;20005;2
114;20121;3
114;20122;4
115;20020;0
116;20123;0
116;20124;1
116;20125;2
116;20126;3
116;20127;4
117;20128;0
118;20129;0
119;20130;0
119;20131;1
119;20132;2
119;20133;3
120;20134;0
120;20135;1
120;20136;2
121;20137;0
121;20138;1
121;20139;2
122;20140;0
122;20141;1
123;20142;0
123;20033;1
123;20082;2
123;20143;3
123;20144;4
124;20040;0
125;20145;0
126;20089;0
127;20146;0
127;20147;1
127;20148;2
127;20149;3
127;20150;4
128;20080;0
128;20081;1
129;20151;0
129;20152;1
130;20153;0
131;20100;0
131;20154;1
131;20102;2
131;20103;3
131;20104;4
132;20155;0
133;20040;0
134;20156;0
135;20157;0
136;20158;0
137;20116;0
138;20020;0
139;20159;0
140;20155;0
141;20160;0
141;20161;1
141;20162;2
141;20163;3
141;20164;4
142;20165;0
142;20166;1
143;20167;0
144;20168;0
144;20169;1
144;20170;2
144;20171;3
145;20172;0
145;20173;1
145;20174;2
145;20175;3
145;20176;4
146;20111;0
147;20177;0
148;20178;0
148;20179;1
148;20180;2
149;20181;0
150;20182;0
151;20183;0
151;20184;1
152;20159;0
153;20074;0
154;20105;0
155;20185;0
156;20186;0
157;20187;0
157;20188;1
157;20189;2
158;20012;0
159;20190;0
159;20191;1
160;20192;0
160;20193;1
161;20194;0
161;20195;1
162;20158;0
163;20196;0
163;20197;1
164;20198;0
165;20199;0
165;20200;1
166;20201;0
166;20202;1
166;20203;2
167;20204;0
168;20205;0
169;20206;0
169;20207;1
169;20208;2
170;20040;0
171;20021;0
172;20209;0
172;20210;1
173;20211;0
174;20186;0
175;20212;0
175;20213;1
175;20214;2
175;20176;3
237;20025;0
237;20076;1
237;20215;2
237;20216;3
261;20111;0
282;20020;0
282;20012;1
282;20021;2
283;20116;0
284;20025;0
285;20217;0
285;20218;1
285;20219;2
286;20028;0
286;20036;1
286;20037;2
287;20220;0
288;20221;0
288;20222;1
288;20223;2
289;20224;0
289;20225;1
289;20226;2
289;20227;3
289;20228;4
290;20229;0
291;20230;0
291;20231;1
291;20232;2
291;20233;3
291;20234;4
292;20143;0
293;20020;0
294;20166;0
295;20235;0
295;20236;1
295;20237;2
295;20238;3
295;20176;4
296;20239;0
