id_empresa;id_nivel_atividade;id_saude_tributaria;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;fl_optante_simples;qt_filial;fl_optante_simei
1;3;2;;;;1;;1
4;3;5;;;;0;;0
6;8;7;;;;0;;0
9;8;7;;;;0;;0
10;8;7;;;;0;;0
11;8;7;;;;0;;0
12;8;7;;;;0;;0
13;8;7;;;;0;;0
14;8;7;;;;0;;0
15;8;7;;;;0;;0
16;8;7;;;;0;;0
17;3;5;;;;1;;1
18;3;5;;;;1;;1
19;21;20;;1;0;1;;0
22;23;20;;;;1;;0
24;23;2;;;;1;;0
25;3;2;;;;0;;0
26;3;27;;;;0;;0
28;3;20;;;;0;;0
29;23;2;;;;0;10;0
30;3;5;;;;0;;0
31;23;2;;;;1;;0
32;3;20;;;;0;;0
33;23;20;;;;1;;0
34;21;35;;;;0;;0
36;23;2;;;;1;1;0
37;3;5;;;;0;;0
38;8;7;;;;0;;0
39;23;2;;2;0;1;;0
40;21;35;;;;0;;0
41;21;27;;;;1;;0
42;3;5;;;;0;;0
43;3;27;;;;0;;0
44;23;2;;;;0;;0
45;23;2;;;;1;;0
46;3;5;;;;0;;0
47;3;20;;;;0;;0
48;3;2;;;;1;;1
49;3;5;;;;0;;0
50;23;20;;;;0;;0
51;23;2;;4;0;0;;0
52;3;35;;;;0;;0
53;3;2;;;;1;;0
54;23;2;;4;0;1;3;0
55;3;27;;;;0;;0
56;23;2;;;;0;;0
57;3;27;;;;0;;0
58;21;5;;;;1;;0
59;8;7;;;;0;;0
60;3;20;;;;1;;0
61;3;20;;;;0;;0
62;3;5;;;;0;1;0
63;8;7;;;;0;;0
64;8;7;;;;0;;0
65;8;7;;;;0;;0
66;23;20;;;;0;;0
67;8;7;;;;0;;0
68;21;27;;;;0;;0
69;3;27;;;;0;;0
70;23;2;;2;1;1;;0
71;21;5;;;;1;;1
72;3;2;;;;0;;0
73;21;27;;;;0;;0
74;3;5;;;;1;;1
75;23;20;;;;0;;0
76;3;2;;;;0;;0
77;21;5;;;;1;;1
78;3;35;;;;0;;0
79;8;7;;;;0;;0
80;21;27;;;;0;;0
81;3;27;;;;0;;0
82;3;2;;;;1;;1
83;3;20;;;;1;;0
84;23;20;;;;1;;0
85;8;7;;;;0;;0
86;8;7;;;;0;;0
87;8;7;;;;0;;0
88;8;7;;;;0;;0
89;8;7;;;;0;;0
90;8;7;;;;0;;0
91;8;7;;;;0;;0
92;8;7;;;;0;;0
93;8;7;;;;0;;0
94;8;7;;;;0;;0
95;8;7;;;;0;;0
96;8;7;;;;0;;0
97;8;7;;;;0;;0
98;8;7;;;;0;;0
99;8;7;;;;0;;0
100;8;7;;;;0;;0
101;8;7;;;;0;;0
102;8;7;;1;0;0;;0
103;8;7;;;;0;;0
104;8;7;;;;0;;0
105;8;7;;;;0;;0
106;21;27;;;;0;;0
107;3;5;;;;1;;0
108;23;2;;;;0;;0
109;3;5;;;;1;;1
110;23;20;;;;0;;0
111;21;27;;;;1;;0
112;3;20;;;;1;;1
113;3;5;;;;0;;0
114;23;2;;;;1;;0
115;3;2;;;;1;;0
116;3;20;;;;1;;0
117;3;20;;;;0;;0
118;23;2;;2;0;1;;0
119;23;2;;;;0;;0
120;23;2;;;;1;;0
121;3;20;;;;0;;0
122;23;20;;2;0;1;;0
123;3;5;;;;1;;1
124;3;5;;;;0;;0
125;3;2;;;;0;;0
126;21;27;;;;0;;0
127;23;20;;;;0;;0
128;3;2;;;;0;;0
129;3;2;;;;1;;0
130;8;2;;;;0;;0
131;3;20;;;;0;;0
132;23;2;;;;0;;0
133;3;5;;;;0;;0
134;3;35;;;;0;;0
135;23;2;;;;1;;0
136;23;2;;;;1;;0
137;8;2;;;;0;;0
138;3;27;;;;0;;0
139;3;5;;;;0;;0
140;23;2;;;;0;;0
141;23;2;;1;0;1;;0
142;21;5;;;;1;;1
143;23;20;;;;0;;0
144;3;2;;;;1;;1
145;23;20;;;;1;;0
146;21;27;;1;0;0;;0
147;23;20;;1;0;0;;0
148;3;27;;;;0;;0
149;3;5;;;;1;;1
150;3;35;;;;1;;0
151;23;20;;;;1;;0
152;3;20;;;;0;;0
153;23;20;;;;0;;0
154;3;5;;;;1;;1
155;3;5;;;;1;;0
156;23;2;;;;0;;0
157;23;2;;;;1;;0
158;21;5;;;;0;;0
159;23;2;;;;0;;0
160;3;5;;;;0;1;0
161;23;2;;1;0;1;;0
162;3;2;;;;1;;0
163;3;2;;;;1;;1
164;3;5;;;;0;;0
165;23;2;;;;1;;0
166;3;20;;1;0;0;;0
167;8;7;;;;0;;0
168;3;5;;1;0;1;;1
169;23;2;;;;0;;0
170;8;7;;;;0;;0
171;21;5;;;;1;;1
172;21;5;;;;0;;0
173;8;2;;;;0;;0
174;23;2;;;;1;;0
175;3;2;;;;1;;1
176;8;7;;;;0;;0
177;8;7;;;;0;;0
178;8;7;;;;0;;0
179;8;7;;;;0;;0
180;8;7;;;;0;;0
181;8;7;;;;0;;0
182;8;7;;;;0;;0
183;8;7;;;;0;;0
184;8;7;;;;0;;0
185;8;7;;;;0;;0
186;8;7;;;;0;;0
187;8;7;;;;0;;0
188;8;7;;;;0;;0
189;8;7;;;;0;;0
190;8;7;;;;0;;0
191;8;7;;;;0;;0
192;8;7;;;;0;;0
193;8;7;;;;0;;0
194;8;7;;;;0;;0
195;8;7;;;;0;;0
196;8;7;;;;0;;0
197;8;7;;;;0;;0
198;8;7;;;;0;;0
199;8;7;;;;0;;0
200;8;7;;;;0;;0
201;8;7;;;;0;;0
202;8;7;;;;0;;0
203;8;7;;;;0;;0
204;8;7;;;;0;;0
205;8;7;;;;0;;0
206;8;7;;;;0;;0
207;8;7;;;;0;;0
208;8;7;;;;0;;0
209;8;7;;;;0;;0
210;8;7;;;;0;;0
211;8;7;;;;0;;0
212;8;7;;;;0;;0
213;8;7;;;;0;;0
214;8;7;;;;0;;0
215;8;7;;;;0;;0
216;8;7;;;;0;;0
217;8;7;;;;0;;0
218;8;7;;;;0;;0
219;8;7;;;;0;;0
220;8;7;;;;0;;0
221;8;7;;;;0;;0
222;8;7;;;;0;;0
223;8;7;;;;0;;0
224;8;7;;;;0;;0
225;8;7;;;;0;;0
226;8;7;;;;0;;0
227;8;7;;;;0;;0
228;8;7;;;;0;;0
229;8;7;;;;0;;0
230;8;7;;;;0;;0
231;8;7;;;;0;;0
232;8;7;;;;0;;0
233;8;7;;;;0;;0
234;8;7;;;;0;;0
235;8;7;;;;0;;0
236;8;7;;;;0;;0
237;23;2;;1;0;1;;0
238;8;7;;;;0;;0
239;8;7;;;;0;;0
240;8;7;;;;0;;0
241;8;7;;;;0;;0
242;8;7;;;;0;;0
243;8;7;;;;0;;0
244;8;7;;;;0;;0
245;8;7;;;;0;;0
246;8;7;;;;0;;0
247;8;7;;;;0;;0
248;8;7;;;;0;;0
249;8;7;;;;0;;0
250;8;7;;;;0;;0
251;8;7;;;;0;;0
252;8;7;;;;0;;0
253;8;7;;;;0;;0
254;8;7;;;;0;;0
255;8;7;;;;0;;0
256;8;7;;;;0;;0
257;8;7;;;;0;;0
258;8;7;;;;0;;0
259;8;7;;;;0;;0
260;8;7;;;;0;;0
261;3;2;;;;0;;0
262;8;7;;;;0;;0
263;8;7;;;;0;;0
264;8;7;;;;0;;0
265;8;7;;;;0;;0
266;8;7;;;;0;;0
267;8;7;;;;0;;0
268;8;7;;;;0;;0
269;8;7;;;;0;;0
270;8;7;;;;0;;0
271;8;7;;;;0;;0
272;8;7;;;;0;;0
273;8;7;;;;0;;0
274;8;7;;;;0;;0
275;8;7;;;;0;;0
276;8;7;;;;0;;0
277;8;7;;;;0;;0
278;8;7;;;;0;;0
279;8;7;;;;0;;0
280;8;7;;;;0;;0
281;8;7;;;;0;;0
282;3;5;;;;1;;1
283;21;27;;;;0;;0
284;23;20;;2;0;0;2;0
285;3;5;;;;1;;1
286;3;20;;;;0;;0
287;23;20;;1;0;0;;0
288;23;2;;;;0;;0
289;23;20;;;;0;;0
290;8;20;;;;0;;0
291;8;7;;;;1;;1
292;3;5;;;;1;;1
293;3;5;;;;1;;1
294;3;5;;;;1;;1
295;23;20;;;;1;;0
296;23;27;;2;1;0;1;0
297;3;5;;;;1;;1
298;3;5;;;;0;;0
299;3;2;;;;0;;0
300;8;7;;;;0;;0
301;23;20;;;;0;;0
302;3;5;;;;1;;1
303;8;20;;;;0;;0
304;23;20;;;;0;2;0
305;3;2;;;;0;;0
306;8;7;;;;0;;0
307;8;7;;;;0;;0
308;8;35;;;;0;;0
309;8;7;;;;0;;0
310;8;7;;;;0;;0
311;8;20;;;;0;;0
312;21;5;;;;1;;1
313;21;35;;;;0;;0
314;23;2;;;;1;;0
315;3;5;;;;1;;1
316;3;35;;;;0;1;0
317;23;20;;;;0;;0
318;3;5;;;;0;;0
319;3;20;;;;0;;0
320;3;2;;;;0;;0
321;3;20;;;;0;1;0
322;8;7;;;;0;;0
323;23;2;;;;1;;1
324;8;7;;;;0;;0
325;23;2;;;;1;;0
326;3;2;;;;1;;0
327;8;2;;;;0;;0
328;3;2;;;;0;;0
329;23;20;;;;0;;0
330;23;20;;1;0;1;;0
331;23;20;;;;0;;0
332;3;5;;;;1;;1
333;3;5;;;;1;;1
334;3;2;;;;1;;1
335;3;2;;;;1;;1
336;21;5;;;;1;;1
337;23;20;;;;0;;0
338;23;20;;;;0;1;0
339;23;2;;;;0;;0
340;23;20;;;;0;;0
341;21;5;;;;1;;1
342;3;5;;;;1;;1
343;8;5;;;;1;;1
344;3;2;;;;1;;1
345;21;27;;;;0;;0
346;23;20;;;;0;;0
347;21;20;;1;0;1;;0
348;3;20;;;;0;;0
349;8;2;;1;0;0;;0
350;21;27;;;;0;;0
351;3;5;;;;0;;0
352;23;20;;;;0;;0
353;3;5;;;;0;;0
354;23;27;;;;0;;0
355;3;27;;;;0;;0
356;3;5;;;;0;;0
357;23;2;;;;1;;1
358;3;5;;;;1;;1
359;3;27;;;;0;;0
360;23;2;;;;1;;0
361;8;20;;;;1;;0
362;3;20;;;;0;;0
363;3;5;;;;0;;0
364;3;20;;;;0;;0
365;23;2;;;;0;;0
366;3;27;;;;0;;0
367;3;2;;;;1;;0
368;23;20;;;;1;;0
369;8;7;;;;0;;0
370;8;7;;;;0;;0
371;8;7;;;;0;;0
372;8;7;;;;0;;0
373;8;7;;;;0;;0
374;8;7;;;;0;;0
375;8;7;;;;0;;0
376;8;7;;;;0;;0
377;8;7;;;;0;;0
378;8;7;;;;0;;0
379;8;7;;;;0;;0
380;8;7;;;;0;;0
381;8;7;;;;0;;0
382;3;20;;;;0;;0
383;8;7;;;;0;;0
384;8;7;;;;0;;0
385;3;5;;;;0;;0
386;23;2;;;;0;;0
387;3;5;;;;1;;0
388;8;7;;;;0;;0
389;8;7;;;;1;;0
390;23;20;;;;0;;0
391;23;20;;;;0;;0
392;3;5;;;;0;;0
393;3;20;;3;0;1;;0
394;3;20;;1;3;1;;0
395;23;20;;;;0;1;0
396;21;27;;;;0;;0
397;3;2;;0;2;1;;0
398;3;20;;;;0;;0
399;23;2;;;;1;;1
400;3;2;;;;1;;1
401;402;27;;;;0;;0
403;8;7;;;;0;;0
404;8;7;;;;0;;0
405;3;5;;;;0;;0
406;23;2;;3;0;1;;0
407;3;27;;;;0;;0
408;23;20;;;;1;;1
409;23;2;;;;0;;0
410;23;2;;;;0;;0
411;3;20;;;;0;;0
412;3;5;;;;0;;0
413;3;2;;;;1;;1
414;3;20;;;;1;;0
415;8;7;;;;0;;0
416;3;20;;;;0;;0
417;23;2;;0;1;0;;0
418;21;27;;;;0;;0
419;3;20;;;;1;;1
420;3;5;;;;0;;0
421;3;5;;;;0;;0
422;23;20;;;;0;;0
423;23;2;;;;0;;0
424;23;20;;4;0;0;;0
425;23;20;;;;1;;0
426;21;27;;;;0;;0
427;3;5;;;;0;;0
428;23;2;;;;1;;1
429;3;35;;;;0;;0
430;23;5;;;;0;;0
431;3;35;;;;0;;0
432;23;2;;;;1;;1
433;23;2;;1;0;1;;0
434;23;2;;;;1;;1
435;3;5;;;;1;;1
436;3;27;;;;0;;0
437;3;5;;;;0;;0
438;23;20;;;;1;1;0
439;3;20;;;;1;2;0
440;3;27;;;;0;;0
441;23;2;;4;0;1;;0
442;3;5;;;;1;;1
443;23;2;;;;1;;0
444;8;7;;;;0;;0
445;8;7;;;;0;;0
446;8;7;;;;0;;0
447;21;27;;;;1;;0
448;3;20;;;;0;;0
449;3;2;;;;0;;0
450;3;20;;;;1;;0
451;3;2;;;;1;;1
452;23;5;;;;0;;0
453;3;5;;;;1;;0
454;23;20;;2;0;0;;0
455;8;20;;;;0;;0
456;23;2;;;;1;;0
457;21;5;;;;0;;0
458;8;7;;;;0;;0
459;3;20;;;;1;;1
460;3;5;;;;0;;0
461;3;2;;;;0;;0
462;23;2;;;;1;1;0
463;3;27;;;;1;;1
464;3;5;;;;0;;0
465;8;7;;;;0;;0
466;8;7;;;;0;;0
467;21;27;;;;0;;0
468;8;7;;;;0;;0
469;8;7;;;;0;;0
470;8;7;;;;0;;0
471;8;7;;;;0;;0
472;8;7;;;;0;;0
473;8;7;;;;0;;0
474;8;7;;;;0;;0
475;8;7;;;;0;;0
476;8;7;;;;0;;0
477;8;7;;;;0;;0
478;8;7;;;;0;;0
479;8;7;;;;0;;0
480;8;7;;;;0;;0
481;8;7;;;;0;;0
482;8;7;;;;0;;0
483;8;7;;;;0;;0
484;8;7;;;;0;;0
485;8;7;;;;0;;0
486;8;7;;;;0;;0
487;8;7;;;;0;;0
488;8;7;;;;0;;0
489;8;7;;;;0;;0
490;8;7;;;;0;;0
491;8;7;;;;0;;0
492;8;7;;;;0;;0
493;8;7;;;;0;;0
494;8;7;;;;0;;0
495;8;7;;;;0;;0
496;8;7;;;;0;;0
497;8;7;;;;0;;0
498;8;7;;;;0;;0
499;8;7;;;;0;;0
500;8;7;;;;0;;0
501;8;7;;;;0;;0
502;8;7;;;;0;;0
503;8;7;;;;0;;0
504;8;7;;;;0;;0
505;8;7;;;;0;;0
506;8;7;;;;0;;0
507;8;7;;;;0;;0
508;8;7;;;;0;;0
509;8;7;;;;0;;0
510;8;7;;;;0;;0
511;8;7;;;;0;;0
512;8;7;;;;0;;0
513;3;2;;;;0;;0
514;3;2;;;;0;;0
515;8;20;;;;0;;0
516;23;20;;;;0;;0
517;3;20;;;;0;;0
518;23;20;;;;0;;0
519;3;2;;;;1;;1
520;3;20;;;;1;;0
521;3;5;;;;1;;0
522;21;27;;2;0;1;;0
523;3;2;;;;1;;1
524;3;20;;;;0;;0
525;3;5;;;;0;;0
526;3;2;;;;0;;0
527;21;20;;;;0;;0
528;3;5;;;;1;;1
529;3;2;;;;0;;0
530;3;2;;;;0;;0
531;23;2;;1;0;0;;0
532;3;5;;;;0;;0
533;3;20;;;;1;;0
534;3;5;;;;0;;0
535;21;20;;;;0;;0
536;21;27;;;;0;;0
537;8;7;;;;0;;0
538;23;20;;;;0;;0
539;3;5;;;;0;;0
540;3;35;;;;0;1;0
541;3;5;;;;0;;0
542;3;2;;;;0;;0
543;23;20;;1;0;0;;0
544;23;20;;;;0;;0
545;23;2;;;;0;;0
546;23;2;;;;0;;0
547;3;20;;;;0;;0
548;3;27;;;;0;;0
549;21;5;;;;0;;0
550;3;5;;;;0;;0
551;23;2;;;;0;;0
552;3;20;;;;0;;0
553;3;5;;;;1;;0
554;8;5;;;;0;;0
555;3;5;;;;1;;1
556;3;2;;;;1;;0
557;402;35;;1;0;0;;0
558;3;5;;;;1;;1
559;8;27;;;;0;;0
560;23;2;;;;0;;0
561;21;5;;;;1;;0
562;3;5;;;;0;;0
563;3;5;;;;0;;0
564;3;5;;;;0;;0
565;3;5;;;;0;4;0
566;21;20;;;;0;;0
567;3;27;;;;0;;0
568;3;20;;;;1;;0
569;3;2;;;;1;;0
570;23;2;;;;1;;1
571;3;5;;;;1;;1
572;3;5;;;;1;;1
573;8;7;;;;0;;0
574;8;7;;;;0;;0
575;8;7;;;;0;;0
576;8;7;;;;0;;0
577;8;7;;;;0;;0
578;8;7;;;;0;;0
579;8;7;;;;0;;0
580;8;7;;;;0;;0
581;8;7;;;;0;;0
582;8;7;;;;0;;0
583;8;7;;;;0;;0
